"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Info Widget is always read-only","5519","A test to check the field for ""Read-only""","","Wed Apr 16 11:29:49 GMT 2025","passed","Wed Apr 16 11:29:54 GMT 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","readonly"
"DrillDown is not available for InfoWidget.","7468","The DrillDown test","","Wed Apr 16 11:26:17 GMT 2025","passed","Wed Apr 16 11:26:24 GMT 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","drillDown"
"Info Widget is always read-only","6345","A test to check the field for ""Read-only""","","Wed Apr 16 11:28:34 GMT 2025","passed","Wed Apr 16 11:28:41 GMT 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","readonly"
"","9939","A test to get a value for a multifield","","Wed Apr 16 11:17:18 GMT 2025","passed","Wed Apr 16 11:17:27 GMT 2025","","Form. Checking the basic functions for the MultiField in the widget Form","application.Samples.Form.MultiFieldOnFormTest","getValues2"
"","8662","The test for getting the value from the field","","Wed Apr 16 11:29:04 GMT 2025","passed","Wed Apr 16 11:29:12 GMT 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","read"
"Sorting is not available for InfoWidget.","6355","Sorting test","","Wed Apr 16 11:29:29 GMT 2025","passed","Wed Apr 16 11:29:36 GMT 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","sorting"
"The test checks for the disabled attribute","6847","A test to check the field for ""Read-only""","","Wed Apr 16 11:13:06 GMT 2025","passed","Wed Apr 16 11:13:13 GMT 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","readonly"
"Info Widget is always read-only","8640","A test to check the field for ""Read-only""","","Wed Apr 16 11:28:55 GMT 2025","passed","Wed Apr 16 11:29:04 GMT 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","readonly"
"The InfoWidget doesn't have a Placeholder.","8530","Test for getting the Placeholder value","","Wed Apr 16 11:29:21 GMT 2025","passed","Wed Apr 16 11:29:29 GMT 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","placeholder"
"The test gets the value from the placeholder attribute and returns it in String format","10494","Test for getting the Placeholder value","","Wed Apr 16 11:16:22 GMT 2025","passed","Wed Apr 16 11:16:32 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","placeholder"
"Filtering is not available for InfoWidget.","7182","Filtering test","","Wed Apr 16 11:29:43 GMT 2025","passed","Wed Apr 16 11:29:51 GMT 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated.","10009","Business Exception Validation Test","","Wed Apr 16 11:22:56 GMT 2025","passed","Wed Apr 16 11:23:06 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","businessException"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","8295","A test to get the field color value in Hex format","","Wed Apr 16 11:25:52 GMT 2025","passed","Wed Apr 16 11:26:00 GMT 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","color"
"Drill Down is not available for InfoWidget.","7590","The DrillDown test","","Wed Apr 16 11:29:36 GMT 2025","passed","Wed Apr 16 11:29:43 GMT 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","drillDown"
"The test gets the value from the placeholder attribute and returns it in String format","9643","Test for getting the Placeholder value","","Wed Apr 16 11:19:46 GMT 2025","passed","Wed Apr 16 11:19:55 GMT 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","placeholder"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","6644","A test to get the field color value in Hex format","","Wed Apr 16 11:21:09 GMT 2025","passed","Wed Apr 16 11:21:16 GMT 2025","","Form. Checking the basic functions for the NumberDigits in the widget Form","application.Samples.Form.NumberDigitsOnFormTest","color"
"","5949","The test for getting the value from the field","","Wed Apr 16 11:26:09 GMT 2025","passed","Wed Apr 16 11:26:15 GMT 2025","","Info. Checking the basic functions for the DateTimeWithSeconds","application.Samples.Info.DateTimeWithSecondsOnInfoTest","read"
"The test checks for the disabled attribute","8542","A test to check the field for ""Read-only""","","Wed Apr 16 11:17:55 GMT 2025","passed","Wed Apr 16 11:18:03 GMT 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","readonly"
"Filtering is not available for InfoWidget.","9862","Filtering test","","Wed Apr 16 11:27:26 GMT 2025","passed","Wed Apr 16 11:27:36 GMT 2025","","Info. Checking the basic functions for the Dictionary","application.Samples.Info.DictionaryOnInfoTest","filtration"
